Date,Item,Brand,Vendor,Granular,Unit Price,Quantity,Total,,
12/12/2025,Cheese tofu,EB Cheese ,Lotus,25,11.95,1,11.95,,
12/12/2025,Fish ball,Lotus White ,Lotus,50,11.99,1,12,,
12/12/2025,Lobster ball,Mroom,Lotus,20,11.6,1,11.6,,
09/01/2026,Cheese tofu,EB Cheese ,Lotus,25,10.98,2,21.96,,
09/01/2026,Fish ball,Lotus White ,Lotus,50,11.98,1,11.98,,
09/01/2026,Lobster ball,Mroom,Lotus,20,12.25,2,24.5,,
13/01/2026,Cheese tofu,EB Cheese ,Lotus,25,10.98,3,32.94,,
13/01/2026,Lobster ball,Mroom,Lotus,20,12.25,3,36.75,,
13/01/2026,Fish cake,EB Fishcake,Lotus,16,8.48,4,33.92,,
15/01/2026,Cheese tofu,EB Cheese ,Lotus,25,10.98,4,43.92,,
15/01/2026,Fish ball,Lotus White ,Lotus,50,12.99,1,12.99,,
15/01/2026,Lobster ball,Mroom,Lotus,20,12.25,4,49,,
16/01/2026,Cheese tofu,EB Cheese ,Lotus,25,9.85,1,9.85,,
16/01/2026,Lobster ball,Mroom,Lotus,20,12.25,1,12.25,,
16/01/2026,Fish cake,Fish & Soy,Lotus,8,4.39,3,13.17,,
11/01/2026,Fish cake,EB Fishcake,Lotus,16,8.48,3,25.45,,
12/01/2026,Lobster ball,Kami,Lotus,10,6.68,6,40.08,,
12/01/2026,Fish ball,Lotus White ,Lotus,50,11.98,3,35.94,,
12/01/2026,Cheese tofu,EB Cheese ,Lotus,25,10.98,4,43.92,,
12/01/2026,Hotdog,Ayamas Chicken,Lotus,60,14.98,4,59.92,,
13/01/2026,Fish cake,EB Fishcake,Jaya Grocer,16,9.9,7,69.3,,
13/01/2026,Cheese tofu,EB Cheese ,Lotus,25,10.98,8,87.84,,
13/01/2026,Hotdog,Ayamas Chicken,Lotus,60,14.98,2,29.96,,
15/01/2026,Fish cake,EB Fishcake,Village Grocer,16,8.98,5,44.9,,
