Transaction ID,Date,Time,Items & Customizations,Payment Method,Subtotal (RM),Voucher Code,Discount (RM),Grand Total (RM),Cheese tofu,Fish ball,Fish cake,Hotdog,Lemonade,Lobster ball,Maggie,Mocktail
2,12/01/2026,10:18:41,1x Cheese tofu; 1x Lobster ball; 1x Maggie,QR,4.5,,0,4.5,1,0,0,0,0,1,1,0
3,12/01/2026,10:28:03,1x Fish cake; 1x Cheese tofu; 1x Maggie,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
4,12/01/2026,10:44:07,1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Maggie,QR,6,,0,6,0,0,1,1,0,1,1,0
5,12/01/2026,11:03:01,1x Hotdog; 1x Fish ball; 1x Lemonade,QR,7,RM 1 OFFER,1,6,0,1,0,1,1,0,0,0
6,12/01/2026,11:05:58,1x Hotdog; 1x Fish cake; 1x Maggie; 1x Mocktail,QR,8.5,RM 1 OFFER,1,7.5,0,0,1,1,0,0,1,1
7,12/01/2026,11:09:20,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
9,12/01/2026,11:13:57,1x Fish cake; 1x Lobster ball; 1x Fish ball; 1x Cheese tofu,QR,6,,0,6,1,1,1,0,0,1,0,0
10,12/01/2026,11:14:24,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
11,12/01/2026,11:17:47,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
2,12/01/2026,11:22:55,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
3,12/01/2026,11:24:17,1x Lemonade; 1x Cheese tofu; 1x Fish cake; 1x Hotdog,QR,7,RM 1 OFFER,1,7.5,1,0,1,1,1,0,0,0
13,12/01/2026,11:26:33,1x Hotdog; 1x Cheese tofu; 1x Lobster ball; 1x Fish cake; 1x Maggie,QR,7.5,,0,7.5,1,0,1,1,0,1,1,0
14,12/01/2026,11:28:08,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
16,12/01/2026,11:39:00,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
17,12/01/2026,11:47:44,2x Maggie; 3x Hotdog,QR,7.5,,0,7.5,0,0,0,3,0,0,2,0
18,12/01/2026,11:48:22,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
19,12/01/2026,11:57:17,1x Hotdog; 1x Fish cake; 1x Lobster ball; 1x Fish ball; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
20,12/01/2026,11:58:43,1x Cheese tofu; 1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Maggie,QR,7.5,,0,7.5,1,1,1,0,0,1,1,0
21,12/01/2026,11:58:55,1x Fish ball; 1x Cheese tofu; 1x Lobster ball; 1x Fish cake; 1x Maggie,QR,7.5,,0,7.5,1,1,1,0,0,1,1,0
22,12/01/2026,12:28:04,1x Lemonade; 1x Lemonade,QR,8,,0,8,0,0,0,0,2,0,0,0
23,12/01/2026,12:32:06,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
23,12/01/2026,12:32:06,1x Mocktail,QR,4,,0,,0,0,0,0,0,0,0,1
24,12/01/2026,12:43:20,1x Lemonade; 1x Fish cake; 1x Cheese tofu,QR,7,RM 1 OFFER,1,6,1,0,1,0,1,0,0,0
25,12/01/2026,12:49:58,1x Cheese tofu,QR,1.5,,0,1.5,1,0,0,0,0,0,0,0
27,12/01/2026,12:51:51,1x Maggie; 1x Cheese tofu; 1x Hotdog; 1x Fish cake,QR,6,,0,6,1,0,1,1,0,0,1,0
28,12/01/2026,12:52:32,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
29,12/01/2026,12:54:28,1x Maggie; 1x Hotdog; 1x Hotdog; 1x Fish cake; 1x Lemonade,QR,10,RM 1 OFFER,1,9,0,0,1,2,1,0,1,0
30,12/01/2026,12:57:06,1x Fish cake; 1x Hotdog; 1x Maggie; 1x Lemonade,QR,8.5,RM 1 OFFER,1,7.5,0,0,1,1,1,0,1,0
31,12/01/2026,12:57:47,1x Hotdog; 1x Maggie; 2x Cheese tofu; 2x Fish cake; 2x Lobster ball; 2x Fish ball,QR,15,,0,15,2,2,2,1,0,2,1,0
32,12/01/2026,12:58:28,1x Mocktail,QR,4,RM 1 OFFER,1,3,0,0,0,0,0,0,0,1
34,12/01/2026,13:03:36,1x Cheese tofu; 1x Fish ball; 1x Fish cake; 1x Maggie,QR,6,,0,6,1,1,1,0,0,0,1,0
35,12/01/2026,13:04:39,1x Maggie; 1x Hotdog; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
35,12/01/2026,13:04:39,1x Maggie; 1x Hotdog; 1x Cheese tofu,QR,4.5,,0,,1,0,0,1,0,0,1,0
